SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Struthio camelus,Common Ostrich,ostric2,species,1.0,COOS,STCA,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Struthio molybdophanes,Somali Ostrich,ostric3,species,6.0,SOOS,STMO,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,slash,7.0,SOOS COOS,STMO STCA,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Rhea americana,Greater Rhea,grerhe1,species,8.0,GRRH,RHAM,,Rheiformes,Rheas,Rheidae,,,,rheida1
Rhea pennata,Lesser Rhea,lesrhe2,species,14.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,,,,rheida1
Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,issf,15.0,LERH LR,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2,,,rheida1
Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,issf,18.0,LERH LR,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2,,,rheida1
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,species,19.0,TBTI,NOJU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus bonapartei,Highland Tinamou,higtin1,species,20.0,,NOBO,HITI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2,issf,21.0,HT HITI,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1,,,tinami1
Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3,issf,26.0,HT HITI,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1,,,tinami1
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,species,27.0,HOTI,NONI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus tao,Gray Tinamou,grytin1,species,30.0,GRTI,TITA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus solitarius,Solitary Tinamou,soltin1,species,35.0,SOTI,TISO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus osgoodi,Black Tinamou,blatin1,species,36.0,BLTI,TIOS,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus major,Great Tinamou,gretin1,species,39.0,,TIMA,GRTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus guttatus,White-throated Tinamou,whttin1,species,52.0,WTTI,TIGU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus sp.,Tinamus sp.,tinamu1,spuh,53.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinereus,Cinereous Tinamou,cintin1,species,54.0,CITI,CRCI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,species,55.0,BETI,CRBE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus soui,Little Tinamou,littin1,species,56.0,,CRSO,LITI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus ptaritepui,Tepui Tinamou,teptin1,species,71.0,TETI,CRPT,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus obsoletus,Brown Tinamou,brotin1,species,72.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus obsoletus castaneus,Brown Tinamou (castaneus),brntin1,issf,73.0,BRTI BT,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
Crypturellus obsoletus [obsoletus Group],Brown Tinamou (Brown),brntin2,issf,74.0,BT BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
Crypturellus undulatus,Undulated Tinamou,undtin1,species,83.0,UNTI,CRUN,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,species,90.0,PBTI,CRTR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus strigulosus,Brazilian Tinamou,bratin1,species,91.0,BRTI,CRST,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus duidae,Gray-legged Tinamou,gyltin1,species,92.0,GLTI,CRDU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus erythropus,Red-legged Tinamou,reltin1,species,93.0,RLTI,CRER,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,species,101.0,YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus noctivagus zabele,Yellow-legged Tinamou (zabele),yeltin2,issf,102.0,YLT YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,yeltin1,,,tinami1
Crypturellus noctivagus noctivagus,Yellow-legged Tinamou (noctivagus),yeltin3,issf,103.0,YLT YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,yeltin1,,,tinami1
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,species,104.0,BCTI,CRAT,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,species,107.0,,CRBO,SBTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus kerriae,Choco Tinamou,chotin1,species,110.0,,CRKE,CHTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus variegatus,Variegated Tinamou,vartin1,species,111.0,VATI,CRVA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,species,112.0,ETTI,CRCI,THTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),thitin2,issf,113.0,TT ETTI THTI,CRCI,,Tinamiformes,Tinamous,Tinamidae,thitin1,,,tinami1
Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),thitin3,issf,114.0,ETTI TT THTI,CRCI,,Tinamiformes,Tinamous,Tinamidae,thitin1,,,tinami1
Crypturellus brevirostris,Rusty Tinamou,rustin1,species,123.0,RUTI,CRBR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus bartletti,Bartlett's Tinamou,bartin2,species,124.0,BATI,CRBA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,species,125.0,SBTI,CRPA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus casiquiare,Barred Tinamou,bartin1,species,126.0,BATI,CRCA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus tataupa,Tataupa Tinamou,tattin1,species,127.0,TATI,CRTA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus sp.,Crypturellus sp.,cryptu1,spuh,132.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,species,133.0,RWTI,RHRU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Rhynchotus maculicollis,Huayco Tinamou,huatin1,species,137.0,HUTI,RHMA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,species,138.0,TATI,NOTA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta ornata,Ornate Tinamou,orntin1,species,139.0,ORTI,NOOR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta perdicaria,Chilean Tinamou,chitin1,species,143.0,CHTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta cinerascens,Brushland Tinamou,brutin1,species,146.0,BRTI,NOCI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta pentlandii,Andean Tinamou,andtin1,species,149.0,ANTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,species,157.0,CBTI,NOCU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
